"Frame","CAM2/å¥âÊ","",""
"","A","B","S1"
"1","A001","",""
"2","","",""
"3","","",""
"4","Åõ","",""
"5","","",""
"6","","",""
"7","Åõ","",""
"8","","",""
"9","","",""
"10","A002","",""
"11","","",""
"12","","",""
"13","Åõ","",""
"14","","",""
"15","","",""
"16","Åõ","",""
"17","","",""
"18","","",""
"19","A001","",""
"20","","",""
"21","","",""
"22","Åõ","",""
"23","","",""
"24","","",""
"25","Åõ","",""
"26","","",""
"27","","",""
"28","A002","",""
"29","","",""
"30","","",""
"31","Åõ","",""
"32","","",""
"33","","",""
"34","Åõ","",""
"35","","",""
"36","","",""
"37","A001","",""
"38","","",""
"39","","",""
"40","Åõ","",""
"41","","",""
"42","","",""
"43","Åõ","",""
"44","","",""
"45","","",""
"46","A002","",""
"47","","",""
"48","","",""
"49","Åõ","",""
"50","","",""
"51","","",""
"52","Åõ","",""
"53","","",""
"54","","",""
"55","A001","",""
"56","","",""
"57","","",""
"58","Åõ","",""
"59","","",""
"60","","",""
"61","Åõ","",""
"62","","",""
"63","","",""
"64","A002","",""
"65","","",""
"66","","",""
"67","Åõ","",""
"68","","",""
"69","","",""
"70","Åõ","",""
"71","","",""
"72","","",""
"73","A001","",""
"74","","",""
"75","","",""
"76","Åõ","",""
"77","","",""
"78","","",""
"79","Åõ","",""
"80","","",""
"81","","",""
"82","A002","",""
"83","","",""
"84","","",""
"85","Åõ","",""
"86","","",""
"87","","",""
"88","Åõ","",""
"89","","",""
"90","","",""
"91","A001","",""
"92","","",""
"93","","",""
"94","Åõ","",""
"95","","",""
"96","","",""
"97","Åõ","",""
"98","","",""
"99","","",""
"100","A002","",""
"101","","",""
"102","","",""
"103","Åõ","",""
"104","","",""
"105","","",""
"106","Åõ","",""
"107","","",""
"108","","",""
"109","A001","",""
"110","","",""
"111","","",""
"112","Åõ","",""
"113","","",""
"114","","",""
"115","Åõ","",""
"116","","",""
"117","","",""
"118","A002","",""
"119","","",""
"120","","",""
"121","Åõ","",""
"122","","",""
"123","","",""
"124","Åõ","",""
"125","","",""
"126","","",""
"127","A001","",""
"128","","",""
"129","","",""
"130","Åõ","",""
"131","","",""
"132","","",""
"133","Åõ","",""
"134","","",""
"135","","",""
"136","A002","",""
"137","","",""
"138","","",""
"139","Åõ","",""
"140","","",""
"141","","",""
"142","A003","",""
"143","","",""
"144","","",""
"145","","B001","ÇÀÇ±"
"146","","",""
"147","","",""
"148","","B002",""
"149","","",""
"150","","B001",""
"151","","",""
"152","","B002",""
"153","","",""
"154","","",""
"155","","",""
"156","","",""
"157","","B001",""
"158","","",""
"159","","",""
"160","","B002",""
"161","","",""
"162","","",""
"163","A004","Å~","Å~"
"164","","",""
"165","","",""
"166","","",""
"167","","",""
"168","","",""
"169","","",""
"170","","",""
"171","","",""
"172","","",""
"173","","",""
"174","","",""
"175","A005","",""
"176","","",""
"177","Åõ","",""
"178","","",""
"179","A006","",""
"180","","",""
"181","Åõ","",""
"182","","",""
"183","A005","",""
"184","","",""
"185","Åõ","",""
"186","","",""
"187","A006","",""
"188","","",""
"189","Åõ","",""
"190","","",""
"191","A005","",""
"192","","",""
"193","Åõ","",""
"194","","",""
"195","A006","",""
"196","","",""
"197","Åõ","",""
"198","","",""
"199","A005","",""
"200","","",""
"201","Åõ","",""
"202","","",""
"203","A006","",""
"204","","",""
"205","Åõ","",""
"206","","",""
"207","A007","",""
"208","","",""
"209","A008","",""
"210","","",""
"211","Åõ","",""
"212","","",""
"213","Åõ","",""
"214","","",""
"215","A009","",""
"216","","",""
"217","A010","B003","ÇÀÇ±2"
"218","","",""
"219","Åõ","",""
"220","","",""
"221","A011","",""
"222","","",""
"223","Åõ","",""
"224","","",""
"225","A010","",""
"226","","",""
"227","Åõ","",""
"228","","",""
"229","A011","B004",""
"230","","",""
"231","Åõ","",""
"232","","Å~",""
"233","A010","",""
"234","","",""
"235","Åõ","",""
"236","","",""
"237","A011","",""
"238","","",""
"239","Åõ","",""
"240","","",""
"241","A010","",""
"242","","",""
"243","Åõ","",""
"244","","",""
"245","A011","",""
"246","","",""
"247","Åõ","",""
"248","","",""
"249","A010","",""
"250","","",""
"251","Åõ","",""
"252","","",""
"253","A011","",""
"254","","",""
"255","Åõ","",""
"256","","",""
"257","A010","",""
"258","","",""
"259","Åõ","",""
"260","","",""
"261","A011","",""
"262","","",""
"263","Åõ","",""
"264","","",""
"265","A010","",""
"266","","",""
"267","Åõ","",""
"268","","",""
"269","A011","",""
"270","","",""
"271","Åõ","",""
"272","","",""
"273","A010","",""
"274","","",""
"275","Åõ","",""
"276","","",""
"277","A011","",""
"278","","",""
"279","Åõ","",""
"280","","",""
"281","A010","",""
"282","","",""
"283","Åõ","",""
"284","","",""
"285","A011","",""
"286","","",""
"287","Åõ","",""
"288","","",""
"289","A010","","Å~"
"290","","",""
"291","Åõ","",""
"292","","",""
"293","A011","",""
"294","","",""
"295","Åõ","",""
"296","","",""
"297","A010","",""
"298","","",""
"299","Åõ","",""
"300","","",""
