UTF-8, TVPaint, "CSV 1.1"
Project Name, Width, Height, Frame Count, Layer Count, Frame Rate, Pixel Aspect Ratio, Field Mode
"C010", 579, 443, 96, 7, 24.000000, 1.000000, Progressive

#Layers,"peg","frame","D","C","B","A","BG"
#Folder,"/Users/Shared/workshop/Development/Remaping/Sample_source/C_10/C010.layers/[001] peg","/Users/Shared/workshop/Development/Remaping/Sample_source/C_10/C010.layers/[002] frame","/Users/Shared/workshop/Development/Remaping/Sample_source/C_10/C010.layers/[003] D","/Users/Shared/workshop/Development/Remaping/Sample_source/C_10/C010.layers/[004] C","/Users/Shared/workshop/Development/Remaping/Sample_source/C_10/C010.layers/[005] B","/Users/Shared/workshop/Development/Remaping/Sample_source/C_10/C010.layers/[006] A","/Users/Shared/workshop/Development/Remaping/Sample_source/C_10/C010.layers/[007] BG"
#Density,1.000000,0.317647,1.000000,1.000000,1.000000,1.000000,1.000000
#Blending,"Difference", "Color", "Multiply", "Multiply", "Multiply", "Color", "Color"
#Visible,1, 1, 1, 1, 1, 1, 1
#00000, "[001][00000] peg.png", "[002][00000] frame.png", "[003][00000] X.png", "[004][00000] 1.png", "[005][00000] 1.png", "[006][00000] A.png", "[007][00000] BG.png"
#00001, " ", " ", " ", " ", " ", " ", " "
#00002, " ", " ", " ", " ", " ", " ", " "
#00003, " ", " ", "[003][00003] 1.png", " ", " ", " ", " "
#00004, " ", " ", " ", " ", " ", " ", " "
#00005, " ", " ", " ", " ", " ", " ", " "
#00006, " ", " ", " ", "[004][00006] 2.png", "[005][00006] 3.png", " ", " "
#00007, " ", " ", " ", " ", " ", " ", " "
#00008, " ", " ", " ", " ", " ", " ", " "
#00009, " ", " ", " ", "[004][00009] 3.png", "[005][00009] 2.png", " ", " "
#00010, " ", " ", " ", " ", " ", " ", " "
#00011, " ", " ", " ", " ", " ", " ", " "
#00012, " ", " ", " ", "[004][00012] 5.png", "[005][00012] 1.png", " ", " "
#00013, " ", " ", " ", " ", " ", " ", " "
#00014, " ", " ", " ", " ", " ", " ", " "
#00015, " ", " ", " ", " ", "[005][00015] 3.png", " ", " "
#00016, " ", " ", " ", " ", " ", " ", " "
#00017, " ", " ", " ", " ", " ", " ", " "
#00018, " ", " ", "[003][00018] X.png", "[004][00018] 4.png", "[005][00018] 2.png", " ", " "
#00019, " ", " ", " ", " ", " ", " ", " "
#00020, " ", " ", " ", " ", " ", " ", " "
#00021, " ", " ", " ", "[004][00021] 3.png", "[005][00021] 3.png", " ", " "
#00022, " ", " ", " ", " ", " ", " ", " "
#00023, " ", " ", "[003][00000] X.png", " ", " ", " ", " "
#00024, " ", " ", " ", "[004][00000] 1.png", "[005][00024] 1.png", " ", " "
#00025, " ", " ", " ", " ", " ", " ", " "
#00026, " ", " ", "[003][00003] 1.png", " ", " ", " ", " "
#00027, " ", " ", " ", " ", " ", " ", " "
#00028, " ", " ", " ", " ", " ", " ", " "
#00029, " ", " ", " ", " ", " ", " ", " "
#00030, " ", " ", " ", "[004][00006] 2.png", "[005][00030] 2.png", " ", " "
#00031, " ", " ", " ", " ", " ", " ", " "
#00032, " ", " ", " ", " ", " ", " ", " "
#00033, " ", " ", " ", "[004][00009] 3.png", "[005][00033] 3.png", " ", " "
#00034, " ", " ", " ", " ", " ", " ", " "
#00035, " ", " ", " ", " ", " ", " ", " "
#00036, " ", " ", " ", "[004][00012] 5.png", "[005][00036] 2.png", " ", " "
#00037, " ", " ", " ", " ", " ", " ", " "
#00038, " ", " ", " ", " ", " ", " ", " "
#00039, " ", " ", " ", " ", "[005][00039] 1.png", " ", " "
#00040, " ", " ", " ", " ", " ", " ", " "
#00041, " ", " ", "[003][00018] X.png", " ", " ", " ", " "
#00042, " ", " ", " ", "[004][00018] 4.png", "[005][00042] 3.png", " ", " "
#00043, " ", " ", " ", " ", " ", " ", " "
#00044, " ", " ", " ", " ", " ", " ", " "
#00045, " ", " ", " ", "[004][00021] 3.png", "[005][00045] 1.png", " ", " "
#00046, " ", " ", "[003][00000] X.png", " ", " ", " ", " "
#00047, " ", " ", " ", " ", " ", " ", " "
#00048, " ", " ", " ", "[004][00000] 1.png", "[005][00048] 2.png", " ", " "
#00049, " ", " ", "[003][00003] 1.png", " ", " ", " ", " "
#00050, " ", " ", " ", " ", " ", " ", " "
#00051, " ", " ", " ", " ", "[005][00051] 3.png", " ", " "
#00052, " ", " ", " ", " ", " ", " ", " "
#00053, " ", " ", " ", " ", " ", " ", " "
#00054, " ", " ", " ", "[004][00006] 2.png", "[005][00054] 1.png", " ", " "
#00055, " ", " ", " ", " ", " ", " ", " "
#00056, " ", " ", " ", " ", " ", " ", " "
#00057, " ", " ", " ", "[004][00009] 3.png", " ", " ", " "
#00058, " ", " ", " ", " ", " ", " ", " "
#00059, " ", " ", " ", " ", " ", " ", " "
#00060, " ", " ", " ", "[004][00012] 5.png", "[005][00060] 2.png", " ", " "
#00061, " ", " ", " ", " ", " ", " ", " "
#00062, " ", " ", " ", " ", " ", " ", " "
#00063, " ", " ", " ", " ", "[005][00063] 3.png", " ", " "
#00064, " ", " ", "[003][00018] X.png", " ", " ", " ", " "
#00065, " ", " ", " ", " ", " ", " ", " "
#00066, " ", " ", " ", "[004][00018] 4.png", " ", " ", " "
#00067, " ", " ", " ", " ", " ", " ", " "
#00068, " ", " ", " ", " ", " ", " ", " "
#00069, " ", " ", "[003][00000] X.png", "[004][00021] 3.png", "[005][00069] 2.png", " ", " "
#00070, " ", " ", " ", " ", " ", " ", " "
