"Frame","å¥âÊ","","","","ë‰éå","ìÆâÊ","","",""
"","A","B","C","D","","A","B","C","D"
1,"","","","","","(1)","1","1","X"
2,"","","","","","|","Åb","Åb","ÉJÉâ"
3,"","","","","","|","Åb","Åb",""
4,"","","","","","|","Åb","Åb","(1)"
5,"","","","","(ñ∫)","|","Åb","Åb","Åb"
6,"","","","","----","|","Åb","Åb","Åb"
7,"","","","","Çæ","|","3","2","Åb"
8,"","","","","","|","","","Åb"
9,"","","","","","|","","","Åb"
10,"","","","","Ç¡","|","2","3","Åb"
11,"","","","","","|","","","Åb"
12,"","","","","","|","","","Åb"
13,"","","","","Çƒ","|","1","5","Åb"
14,"","","","","","|","","Åb","Åb"
15,"","","","","","|","","Åb","Åb"
16,"","","","","Çæ","|","3","Åb","Åb"
17,"","","","","","|","","Åb","Åb"
18,"","","","","","|","","Åb","Åb"
19,"","","","","Ç¡","|","2","4","X"
20,"","","","","","|","","","ÉJÉâ"
21,"","","","","","|","","",""
22,"","","","","Çƒ","|","3","3",""
23,"","","","","","|","","",""
24,"","","","","----","|","","",""
25,"","","","","","|","1","1",""
26,"","","","","","|","Åb","Åb",""
27,"","","","","","|","Åb","Åb","(1)"
28,"","","","","","|","Åb","Åb","Åb"
29,"","","","","(ëß)","|","Åb","Åb","Åb"
30,"","","","","----","|","Åb","Åb","Åb"
31,"","","","","É\","|","2","2","Åb"
32,"","","","","","|","","","Åb"
33,"","","","","","|","","","Åb"
34,"","","","","Éå","|","3","3","Åb"
35,"","","","","","|","","","Åb"
36,"","","","","","|","","","Åb"
37,"","","","","Ç∂","|","2","5","Åb"
38,"","","","","","|","","Åb","Åb"
39,"","","","","","|","","Åb","Åb"
40,"","","","","Ç·","|","1","Åb","Åb"
41,"","","","","","|","","Åb","Åb"
42,"","","","","","|","","Åb","X"
43,"","","","","É_","|","3","4","ÉJÉâ"
44,"","","","","","|","","",""
45,"","","","","","|","","",""
46,"","","","","ÉÅ","|","1","3",""
47,"","","","","","|","","",""
48,"","","","","","|","","",""
49,"","","","","Ç∂","|","2","1",""
50,"","","","","","|","","Åb","(1)"
51,"","","","","","|","","Åb","Åb"
52,"","","","","Ç·","|","3","Åb","Åb"
53,"","","","","","|","","Åb","Åb"
54,"","","","","","|","","Åb","Åb"
55,"","","","","ÇÒ","|","1","2","Åb"
56,"","","","","","|","Åb","","Åb"
57,"","","","","","|","Åb","","Åb"
58,"","","","","!","|","Åb","3","Åb"
59,"","","","","","|","Åb","","Åb"
60,"","","","","","|","Åb","","Åb"
61,"","","","","Ç‡","|","2","5","Åb"
62,"","","","","","|","","Åb","Åb"
63,"","","","","","|","","Åb","Åb"
64,"","","","","|","|","3","Åb","Åb"
65,"","","","","","|","Åb","Åb","X"
66,"","","","","","|","Åb","Åb","ÉJÉâ"
67,"","","","","","|","Åb","4",""
68,"","","","","","|","Åb","",""
69,"","","","","","|","Åb","",""
70,"","","","","","|","2","3",""
71,"","","","","","|","","",""
72,"","","","","----","|","","",""
73,"","","","","","|","(1)","1","(1)"
74,"","","","","","|","Åb","Åb","Åb"
75,"","","","","","|","Åb","Åb","Åb"
76,"","","","","","|","Åb","Åb","Åb"
77,"","","","","","|","Åb","Åb","Åb"
78,"","","","","","|","Åb","Åb","Åb"
79,"","","","","","|","Åb","2","Åb"
80,"","","","","","|","Åb","","Åb"
81,"","","","","","|","Åb","","Åb"
82,"","","","","","|","Åb","3","Åb"
83,"","","","","","|","Åb","","Åb"
84,"","","","","","|","Åb","","Åb"
85,"","","","","","|","Åb","5","Åb"
86,"","","","","","|","Åb","Åb","Åb"
87,"","","","","","|","Åb","Åb","Åb"
88,"","","","","","|","Åb","Åb","X"
89,"","","","","","|","Åb","Åb","ÉJÉâ"
90,"","","","","","|","Åb","Åb",""
91,"","","","","","|","Åb","4",""
92,"","","","","","|","Åb","",""
93,"","","","","","|","Åb","",""
94,"","","","","","|","Åb","3",""
95,"","","","","","|","Åb","",""
96,"","","","","","|","Åb","",""
